Date,DBMF,GLD,PSQ,QQQ,SH,SPY,SQQQ,TECL,TQQQ,UPRO,UVXY
2020-03-20,24.9978,146.3,28.76,170.46,32.55,222.95,29.48,83.13,35.62,18.63,70.06
2020-03-23,25.3154,153.4,26.55,183.66,29.54,243.15,22.84,107.0,43.56,23.84,60.54
2020-03-24,25.1532,151.3,26.72,182.3,29.11,246.79,23.16,106.4,42.55,24.71,68.01
2020-03-25,25.2824,153.24,25.29,191.9,27.4,261.2,19.47,126.15,49.48,29.02,59.48
2020-03-26,25.3572,152.25,26.17,185.3,28.22,253.42,21.35,109.7,44.34,26.4,67.0
2020-03-27,25.4991,152.92,25.19,192.04,27.28,261.65,19.04,122.87,49.0,28.98,63.24
2020-03-30,25.3478,148.05,25.41,190.4,27.66,257.75,19.46,116.24,47.64,27.63,58.44
2020-03-31,25.3781,149.45,26.46,182.31,28.93,246.15,21.95,99.66,41.73,23.94,66.04
2020-04-01,25.4091,151.9,25.94,186.01,28.25,251.83,20.65,106.475,44.2,25.58,60.56
2020-04-02,25.2532,152.65,26.3,183.37,28.67,248.19,21.46,101.29,42.42,24.48,56.6
2020-04-03,25.5848,156.88,24.43,196.48,26.7,264.86,16.95,127.19,51.3,29.43,50.66
2020-04-06,25.403,156.04,24.46,196.4,26.68,265.13,16.9,124.26,51.2,29.43,52.81
2020-04-07,25.3819,154.65,23.93,200.57,25.76,274.03,15.83,133.82,54.47,32.42,50.82
2020-04-08,25.4892,158.69,23.89,200.86,25.41,278.2,15.75,133.97,54.67,33.89,49.38
2020-04-09,25.4983,161.41,23.61,203.03,25.62,275.66,15.22,135.12,56.57,32.9,47.81
2020-04-13,25.58,162.68,22.57,211.86,24.85,283.79,13.23,151.99,63.91,35.89,42.08
2020-04-14,25.6731,161.85,22.82,209.43,25.38,277.76,13.67,142.25,61.79,33.58,47.31
2020-04-15,25.7547,161.71,22.4,213.25,25.27,279.1,12.93,146.84,65.1,34.07,47.56
2020-04-16,25.7144,158.57,22.23,215.29,24.57,286.64,12.61,152.99,66.73,36.85,44.64
2020-04-17,25.8479,159.7,22.48,212.74,25.01,281.59,13.02,145.2,64.57,34.87,51.3
2020-04-20,25.9438,158.61,23.3,204.89,25.77,273.04,14.45,127.06,57.43,31.65,57.47
2020-04-21,26.0763,161.73,22.6,210.97,25.19,279.1,13.15,141.72,62.51,33.79,53.3
2020-04-22,26.1398,163.34,22.66,210.52,25.21,279.08,13.25,138.83,62.1,33.75,53.18
2020-04-23,26.1751,162.64,22.28,213.84,24.85,282.97,12.6,147.2,65.1,35.18,48.76
2020-04-24,26.145,161.56,22.13,215.56,24.48,287.05,12.35,151.62,66.37,36.73,43.07
2020-04-27,26.2253,160.84,22.54,211.5,24.6,285.73,13.0,145.38,62.78,36.19,44.15
2020-04-28,26.1401,161.73,21.77,219.0,23.95,293.21,11.66,163.25,69.31,38.99,40.1
2020-04-29,25.91,158.8,21.72,218.91,24.2,290.48,11.58,160.89,69.77,37.9,42.14
2020-04-30,25.8248,159.78,22.37,212.74,24.83,282.79,12.62,147.17,63.51,34.86,47.6
2020-05-01,25.793,160.34,22.08,215.22,24.73,283.57,12.17,152.96,65.75,35.23,45.98
2020-05-04,25.7299,161.02,21.84,217.66,24.53,286.19,11.76,160.28,67.85,36.17,43.16
2020-05-05,25.71,158.95,21.7,219.0,24.69,284.25,11.54,163.42,69.19,35.45,44.13
2020-05-06,25.85,161.39,21.43,221.82,24.38,287.68,11.09,171.3,71.89,36.71,41.28
2020-05-07,25.71,160.42,21.13,224.86,23.97,292.44,10.64,178.5,74.79,38.51,37.02
2020-05-08,25.725,159.42,20.96,226.87,23.97,292.5,10.37,182.26,76.65,38.57,33.32
2020-05-11,25.72,160.04,21.3794,222.12,24.45,286.67,10.99,170.43,72.09,36.2,38.37
2020-05-12,25.84,161.58,21.63,219.34,24.87,281.6,11.4,161.51,69.36,34.33,44.14
2020-05-13,25.83,163.01,21.4,221.83,24.57,284.97,11.02,168.16,71.66,35.58,40.78
2020-05-14,25.825,163.93,21.25,223.27,24.48,286.28,10.8,170.08,72.89,36.0,39.25
2020-05-15,25.3812,162.69,20.86,227.43,23.72,295.0,10.2,182.91,77.11,39.33,35.42
2020-05-18,25.3628,164.26,20.91,226.86,23.97,291.97,10.29,180.76,76.52,38.12,38.1
2020-05-19,25.25,164.65,20.5,231.39,23.55,296.93,9.66,192.26,81.0,40.04,34.52
2020-05-20,25.325,162.25,20.73,228.87,23.73,294.88,9.96,185.11,78.51,39.17,35.81
2020-05-21,25.42,163.21,20.64,229.66,23.67,295.44,9.87,186.66,79.22,39.38,35.29
2020-05-22,25.11,160.89,20.7,229.04,23.35,299.08,9.92,186.68,78.89,40.89,34.65
2020-05-26,25.2269,161.18,20.59,230.29,23.04,303.53,9.78,189.38,80.0,42.68,33.45
