Date,BIL,BTAL,COKE,COST,EDC,EDZ,EUM,FTLS,IAU,KMLM,LLY,MO,NVO,PGR,PSQ,QLD,QQQ,TLT,TQQQ,UUP,UVXY,VIXY
2021-05-03,91.49,16.9,297.7,360.6161,98.52,8.53,12.17,46.89,17.06,29.25,179.3607,34.3964,74.15,97.379,13.28,127.68,333.39,139.5,103.1,24.55,4.56,8.14
2021-05-04,91.49,16.83,289.91,358.0663,98.8,8.53,12.19,47.32,16.95,29.57,180.4319,34.104,74.0,98.169,13.32,126.65,332.28,139.03,102.07,24.58,4.52,8.09
2021-05-05,91.49,16.67,288.0,355.0598,100.28,8.4,12.13,47.36,17.09,29.45,183.2056,34.6031,73.84,99.4635,13.46,124.0,328.81,139.25,98.89,24.5,4.48,8.05
2021-05-06,91.48,16.66,287.19,364.2315,103.43,8.12,12.0,47.76,17.45,29.61,186.3332,35.145,75.04,98.7972,13.22,128.23,334.44,140.04,104.04,24.38,4.43,7.98
2021-05-07,91.48,16.7,289.34,366.7623,103.67,8.09,11.98,48.06,17.57,29.75,187.6244,35.7939,76.47,100.4819,13.3,127.02,332.79,138.97,102.51,24.22,4.03,7.5
2021-05-10,91.48,16.9,288.15,360.8824,93.52,8.94,12.4,47.35,17.36,29.7373,184.9655,36.1361,75.6,102.2618,13.84,117.06,319.5,137.22,90.31,24.25,4.69,8.3
2021-05-11,91.49,16.86,295.36,357.7333,93.56,8.94,12.39,47.08,17.44,30.43,186.2662,36.1647,77.18,100.0346,13.79,117.47,320.11,136.66,90.97,24.36,5.07,8.77
2021-05-12,91.48,17.15,314.43,354.9647,90.93,9.22,12.48,46.84,17.32,29.5076,184.6877,35.0595,77.85,99.3683,13.81,117.21,320.14,135.91,90.76,24.41,5.54,9.33
2021-05-13,91.48,16.835,330.0,363.5751,92.99,8.92,12.38,47.18,17.5,29.4003,188.0116,35.9151,79.0,101.3767,13.68,119.21,322.65,136.53,92.95,24.31,4.78,8.47
2021-05-14,91.48,16.94,332.84,366.3341,93.01,8.95,12.4,47.45,17.62,29.64,188.7513,35.8296,79.85,101.9382,13.6,120.56,324.67,136.83,94.43,24.3,4.38,8.08
2021-05-17,91.49,16.88,336.34,367.6756,98.05,8.41,12.19,47.84,17.81,29.6086,187.3295,35.7369,80.01,101.2624,13.56,121.2,325.41,136.37,95.22,24.15,4.38,8.05
2021-05-18,91.48,17.042,334.14,358.8274,94.45,8.76,12.31,47.31,17.82,29.52,185.9942,35.3162,79.67,100.2726,13.94,114.72,316.53,136.54,87.55,24.2,5.02,8.84
2021-05-19,91.48,16.86,344.57,360.7588,97.62,8.49,12.151,47.53,17.84,29.86,189.4045,35.2235,80.1,94.3904,13.61,120.19,324.12,136.74,94.1,24.2,4.68,8.43
2021-05-20,91.48,17.09,354.76,366.3437,98.85,8.36,12.12,47.88,17.96,29.1373,192.1328,35.7868,81.47,97.1411,13.33,124.87,330.62,137.66,99.7,24.17,4.38,8.04
2021-05-21,91.48,17.08,356.0,365.6682,96.79,8.51,12.2,47.72,35.82,29.2691,193.0935,35.7369,81.62,94.438,13.4,124.09,329.44,137.99,98.61,24.18,4.27,7.92
2021-05-24,91.48,16.93,368.0,364.9831,101.81,8.13,11.98,48.21,35.84,28.91,193.5065,35.8509,81.07,92.049,13.18,63.82,334.11,138.62,102.81,24.13,4.07,7.66
2021-05-25,91.49,16.78,385.66,367.1143,101.93,8.09,11.97,47.75,36.29,29.26,191.3931,35.3946,80.45,93.4957,13.22,63.65,333.66,139.59,102.39,24.19,40.05,30.39
2021-05-26,91.48,16.69,393.49,366.4197,103.42,7.96,11.91,47.95,36.08,29.355,192.7573,35.2663,79.07,93.9621,13.21,63.63,333.71,138.51,102.4,24.22,37.4,29.05
2021-05-27,91.48,16.47,406.31,365.4873,103.75,7.96,11.9,48.05,36.11,29.2779,191.2874,35.1522,78.85,94.9044,13.2,63.81,334.23,138.58,102.8,24.3,34.75,27.66
2021-05-28,91.48,16.63,405.0,361.4723,111.96,7.29,11.6,48.28,36.37,29.99,192.4402,35.3518,80.2,94.6664,13.15,64.26,335.34,137.86,103.89,24.15,34.7,27.72
2021-06-01,91.49,16.36,416.37,359.9977,111.0,7.37,11.64,48.17,36.27,29.8,191.1818,35.2948,78.85,94.7806,13.22,63.47,333.13,138.54,101.8,24.22,36.68,28.74
2021-06-02,91.48,16.47,413.76,361.1965,108.51,7.57,11.7,48.36,35.78,29.71,191.1626,35.2663,78.81,95.4088,13.34,62.42,330.53,138.51,99.47,24.28,37.56,29.2
2021-06-03,91.48,16.53,438.64,365.5254,110.72,7.4,11.66,48.35,35.92,29.82,194.813,35.6156,80.15,95.4279,13.29,62.93,331.97,138.52,100.74,24.24,35.2,27.95
